Test case No	Test case Scenario	Test Input	Expected Output	Actual Output	Result
AUTHENTICATION	AUTHENTICATION	AUTHENTICATION	AUTHENTICATION	AUTHENTICATION	AUTHENTICATION
A1	Valid user login with correct credentials	Email: user@test.com, Password: Test@123	Login successful, user redirected to dashboard	Login successful, user redirected to dashboard	Pass
A2	Login with invalid email format	Email: invalidemail, Password: Test@123	Error message: "Invalid email format"	Error message: "Invalid email format"	Pass
A3	Login with incorrect password	Email: user@test.com, Password: WrongPass	Error message: "Invalid credentials"	Error message: "Invalid credentials"	Pass
A4	Login with non-existent email account	Email: nonexistent@test.com, Password: Test@123	Error message: "User account not found"	Error message: "User account not found"	Pass
A5	Login with empty email field	Email: (empty), Password: Test@123	Error message: "Email is required"	Error message: "Email is required"	Pass
A6	Login with empty password field	Email: user@test.com, Password: (empty)	Error message: "Password is required"	Error message: "Password is required"	Pass
A7	User registration with valid data	Email: newuser@test.com, Password: Secure@123, Name: John Doe	Account created successfully, confirmation email sent	Account created successfully, confirmation email sent	Pass
A8	Registration with existing email	Email: user@test.com, Password: Secure@123, Name: Jane Doe	Error message: "Email already registered"	Email validation passed, account created (BUG)	Fail
A9	Registration with weak password	Email: newuser@test.com, Password: 123, Name: John Doe	Error message: "Password must be at least 8 characters with uppercase, lowercase, numbers, and special characters"	Error message: "Password must be at least 8 characters with uppercase, lowercase, numbers, and special characters"	Pass
A10	OTP verification with correct code	OTP: 123456	OTP verified, user logged in	OTP verified, user logged in	Pass
A11	OTP verification with incorrect code	OTP: 999999	Error message: "Invalid OTP"	Error message: "Invalid OTP"	Pass
A12	OTP verification with expired OTP	OTP: 123456 (after 10 minutes)	Error message: "OTP has expired, request new code"	Error message: "OTP has expired, request new code"	Pass
A13	Forgot password request	Email: user@test.com	Password reset email sent successfully	Password reset email sent successfully	Pass
A14	Forgot password with non-existent email	Email: notfound@test.com	No error message (security), password reset email sent message	No error message (security), password reset email sent message	Pass
FEED	FEED	FEED	FEED	FEED	FEED
F1	View feed with multiple posts/tasks	Action: Open Feed page	Feed displays 10 latest tasks with all details	Feed displays 10 latest tasks with all details	Pass
F2	Filter feed by category	Filter: "Development" category	Shows only development-related tasks	Shows only development-related tasks	Pass
F3	Search tasks by keyword	Search: "urgent"	Returns all tasks containing "urgent" in title or description	Returns all tasks containing "urgent" in title or description	Pass
F4	Pagination - Load next page	Click: Next button on page 1	Feed displays tasks 11-20	Feed displays tasks 11-20	Pass
F5	Feed with no results after applying filters	Filter: "category" with no matching tasks	Message: "No tasks found"	No UI response, blank feed (UX issue)	Fail
F6	Search with special characters	Search: "@#$%"	Error message: "Invalid search characters" or no results	Query executed, returns 500 error	Fail
F7	Infinite scroll - Automatic load more	Scroll to bottom of feed	Next set of 10 tasks automatically loaded	Next set of 10 tasks automatically loaded	Pass
F8	Sort feed by date (newest first)	Sort: Newest first	Tasks displayed in descending date order	Tasks displayed in descending date order	Pass
F9	Feed network error handling	Network unavailable while loading	Error message: "Unable to load feed, please check connection"	Blank page, no error message (UX issue)	Fail
F10	View task details from feed	Click on task item	Detailed task view opens with all information	Detailed task view opens with all information	Pass
MYTASK	MYTASK	MYTASK	MYTASK	MYTASK	MYTASK
MT1	Create new task with valid data	Title: "Fix bug #123", Desc: "Description", Priority: High, Due: 2026-05-01	Task created successfully, appears in My Tasks	Task created successfully, appears in My Tasks	Pass
MT2	Create task with empty title	Title: (empty), Desc: "Description"	Error message: "Task title is required"	Error message: "Task title is required"	Pass
MT3	Create task with past due date	Title: "Old Task", Due: 2026-03-01	Error message: "Due date cannot be in the past"	Task created with past due date	Fail
MT4	Edit existing task	Task ID: T123, Update: Priority from Medium to High	Task updated successfully	Task updated successfully	Pass
MT5	Delete task confirmation	Task ID: T123	Confirmation dialog appears: "Are you sure?"	Confirmation dialog appears: "Are you sure?"	Pass
MT6	Delete task - Cancel operation	Task ID: T123, Click Cancel	Task remains in list	Task remains in list	Pass
MT7	Delete task - Confirm deletion	Task ID: T123, Click Confirm	Task removed from My Tasks list	Task removed from My Tasks list	Pass
